,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10494,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19514593.0,19514593.0,False,,1,,,,2023-10-15T16:30:00.000Z,26897.41276720643,5106464822.622256,-34.199,-0.00074126,-0.07031476,-3.56898307,2.04056391,-7.05535453,-10.95864479,524892062905.03723,49.8648,564845668111.34,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
1,1027,Ethereum,ETH,ethereum,7551,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120258135.50324702,120258135.50324702,True,,2,,,,2023-10-15T16:30:00.000Z,1552.4351219860062,2274004018.514647,-36.4397,-0.05650766,-0.09378888,-4.79716836,-4.20282381,-14.44142129,-18.76353875,186692953259.79294,17.7359,186692953259.79,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
2,825,Tether USDt,USDT,tether,63710,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83527007239.14531,86625667477.8134,True,,3,,,,2023-10-15T16:30:00.000Z,1.000076029799381,10440179025.470612,-19.6721,0.00025476,0.0007885,-0.05776685,0.00497874,0.1307671,-0.02934593,83533357780.7486,7.9357,86632253609.93,,2023-10-15T16:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-15 16:32:13.945329
3,1839,BNB,BNB,bnb,1682,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153844815.6115165,153844815.6115165,False,,4,,,,2023-10-15T16:30:00.000Z,209.13167319252594,329314636.4596325,30.126,-0.05093747,1.22881841,-1.12923112,-1.45147292,-10.28807402,-14.25041637,32173823700.83208,3.0565,32173823700.83,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
4,52,XRP,XRP,xrp,1114,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-15T16:30:00.000Z,0.48691299042240527,357201326.58757186,-21.6737,0.05183159,-0.0272056,-6.00298898,-1.49088509,-18.07047892,-35.41247252,26021130454.78909,2.472,48691299042.24,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
5,3408,USDC,USDC,usd-coin,14451,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25122999486.927277,25122999486.927277,False,,6,,,,2023-10-15T16:30:00.000Z,1.0001178562199808,1042446615.579336,-34.5024,0.00537167,-0.00585095,0.01047412,0.00307501,0.00943991,-0.01253191,25125960388.681385,2.387,25125960388.68,,2023-10-15T16:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-15 16:32:13.945329
6,5426,Solana,SOL,solana,535,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,416257940.85014606,560033179.3555065,True,,7,,,,2023-10-15T16:30:00.000Z,21.747283682502744,148095158.88766226,-42.85,0.00465552,-1.21621576,-7.30352035,15.43754922,-5.54932271,-19.68571949,9052479524.762573,0.86,12179200423.06,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
7,2010,Cardano,ADA,cardano,946,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35211215360.024,36259372926.663,False,,8,,,,2023-10-15T16:30:00.000Z,0.2461748059331034,72078869.10651796,-20.0975,0.06392696,-0.46107815,-4.23757963,-0.68730033,-9.9775493,-21.80473567,8668114107.922619,0.8235,11077866266.99,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
8,74,Dogecoin,DOGE,dogecoin,806,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141423606383.7052,141423606383.7052,True,,9,,,,2023-10-15T16:30:00.000Z,0.05933034611550328,107499133.07564366,-12.0193,0.00584716,-0.07403606,-3.01839064,-4.18027863,-13.93893336,-14.88086366,8390711515.647928,0.7971,8390711515.65,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
9,1958,TRON,TRX,tron,852,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88938566864.57338,88938622592.24454,True,,10,71659659264.0,6140975914.65359,,2023-10-15T16:30:00.000Z,0.0856964152177969,180037536.32608426,56.4697,0.17942181,0.37471708,-2.87527382,2.24414304,13.37758142,7.24350672,7621716354.902273,0.7241,7621721130.56,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
10,11419,Toncoin,TON,toncoin,158,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,11,3414166606.0,6571772478.285429,,2023-10-15T16:30:00.000Z,1.9248540673839127,14484401.8878971,-18.5239,-0.00681446,-0.2359786,-6.83726289,-2.53958669,36.00193971,42.44445981,6605891443.678024,0.6276,9715813562.98,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
11,4943,Dai,DAI,multi-collateral-dai,2671,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-10-15T16:30:00.000Z,0.9998079774453619,45343533.0862591,-45.7677,-0.00568824,-0.02924692,-0.00854291,-0.02574235,0.10811611,0.03820388,5346861680.516333,0.508,5346861680.52,,2023-10-15T16:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-10-15 16:32:13.945329
12,3890,Polygon,MATIC,polygon,1002,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",10000000000.0,9299803030.71938,10000000000.0,False,,13,,,,2023-10-15T16:30:00.000Z,0.5141863517175187,159759589.48937225,-13.3477,-0.15436315,-1.12200716,-8.59358608,-1.13675284,-17.07821578,-34.21719922,4781831792.057121,0.4543,5141863517.18,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
13,6636,Polkadot,DOT,polkadot-new,592,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1258035972.6808853,1366501372.3860652,True,,14,,,,2023-10-15T16:30:00.000Z,3.7431328267347848,48827746.47477481,1.2292,0.02662375,-0.26924099,-6.97677533,-9.28905963,-20.45074574,-29.21308752,4708995746.555047,0.4474,5114996144.76,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
14,2,Litecoin,LTC,litecoin,1011,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73765339.22358888,84000000.0,False,,15,,,,2023-10-15T16:30:00.000Z,61.59881014189667,118956322.60140964,-13.3509,0.09099536,-0.36953692,-5.79194681,-3.91095477,-20.15233702,-32.930191,4543857125.886456,0.4317,5174300051.92,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:13.945329
0,1,Bitcoin,BTC,bitcoin,10494,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19514593.0,19514593.0,False,,1,,,,2023-10-15T16:30:00.000Z,26897.41276720643,5106464822.622256,-34.199,-0.00074126,-0.07031476,-3.56898307,2.04056391,-7.05535453,-10.95864479,524892062905.03723,49.8648,564845668111.34,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
1,1027,Ethereum,ETH,ethereum,7551,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120258135.50324702,120258135.50324702,True,,2,,,,2023-10-15T16:30:00.000Z,1552.4351219860062,2274004018.514647,-36.4397,-0.05650766,-0.09378888,-4.79716836,-4.20282381,-14.44142129,-18.76353875,186692953259.79294,17.7359,186692953259.79,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
2,825,Tether USDt,USDT,tether,63710,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83527007239.14531,86625667477.8134,True,,3,,,,2023-10-15T16:30:00.000Z,1.000076029799381,10440179025.470612,-19.6721,0.00025476,0.0007885,-0.05776685,0.00497874,0.1307671,-0.02934593,83533357780.7486,7.9357,86632253609.93,,2023-10-15T16:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-15 16:32:17.113764
3,1839,BNB,BNB,bnb,1682,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153844815.6115165,153844815.6115165,False,,4,,,,2023-10-15T16:30:00.000Z,209.13167319252594,329314636.4596325,30.126,-0.05093747,1.22881841,-1.12923112,-1.45147292,-10.28807402,-14.25041637,32173823700.83208,3.0565,32173823700.83,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
4,52,XRP,XRP,xrp,1114,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-15T16:30:00.000Z,0.48691299042240527,357201326.58757186,-21.6737,0.05183159,-0.0272056,-6.00298898,-1.49088509,-18.07047892,-35.41247252,26021130454.78909,2.472,48691299042.24,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
5,3408,USDC,USDC,usd-coin,14451,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25122999486.927277,25122999486.927277,False,,6,,,,2023-10-15T16:30:00.000Z,1.0001178562199808,1042446615.579336,-34.5024,0.00537167,-0.00585095,0.01047412,0.00307501,0.00943991,-0.01253191,25125960388.681385,2.387,25125960388.68,,2023-10-15T16:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-15 16:32:17.113764
6,5426,Solana,SOL,solana,535,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,416257940.85014606,560033179.3555065,True,,7,,,,2023-10-15T16:30:00.000Z,21.747283682502744,148095158.88766226,-42.85,0.00465552,-1.21621576,-7.30352035,15.43754922,-5.54932271,-19.68571949,9052479524.762573,0.86,12179200423.06,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
7,2010,Cardano,ADA,cardano,946,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35211215360.024,36259372926.663,False,,8,,,,2023-10-15T16:30:00.000Z,0.2461748059331034,72078869.10651796,-20.0975,0.06392696,-0.46107815,-4.23757963,-0.68730033,-9.9775493,-21.80473567,8668114107.922619,0.8235,11077866266.99,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
8,74,Dogecoin,DOGE,dogecoin,806,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141423606383.7052,141423606383.7052,True,,9,,,,2023-10-15T16:30:00.000Z,0.05933034611550328,107499133.07564366,-12.0193,0.00584716,-0.07403606,-3.01839064,-4.18027863,-13.93893336,-14.88086366,8390711515.647928,0.7971,8390711515.65,,2023-10-15T16:30:00.000Z,,,,,,2023-10-15 16:32:17.113764
